Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Fat_Percentage,BMI,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level_enc,Cluster,Workout_Type,Experience_Level
197,159,69,0.76,24.1,25.3,3.9,2,0,0,Strength,0
170,126,73,0.63,28.8,24.8,3.5,3,0,0,Yoga,0
205,168,57,1.26,15.8,27.2,4.7,7,3,1,Mixed,3
200,140,66,0.92,34.7,28.8,3.9,3,0,0,Yoga,0
201,181,66,1.28,21.8,21.7,3.4,4,2,1,HIIT,2
165,141,69,0.94,30.7,29.7,4.0,5,1,0,Mixed,1
180,154,75,0.67,20.8,29.9,3.7,3,0,0,Mixed,0
165,150,64,1.17,15.4,23.0,3.9,7,3,1,HIIT,3
192,155,70,0.73,17.3,24.0,3.2,5,1,0,Strength,1
187,151,68,0.63,27.0,22.0,3.9,5,1,0,Strength,1
161,132,80,0.25,28.6,22.8,2.3,3,0,0,Cardio,0
191,156,73,0.76,29.5,19.2,3.0,2,0,0,Strength,0
163,118,62,0.85,22.2,27.1,4.0,5,2,1,Yoga,2
192,163,78,0.89,32.8,18.0,4.4,2,0,0,Mixed,0
203,155,66,0.93,27.0,21.2,3.3,3,1,0,Cardio,1
194,154,81,0.27,24.2,23.8,2.4,3,0,0,Cardio,0
200,158,61,1.24,17.0,29.2,3.8,6,3,1,Strength,3
165,133,73,1.09,18.3,21.8,3.6,4,2,1,Cardio,2
166,131,65,1.37,17.6,25.7,3.8,7,2,1,Cardio,2
204,185,80,0.72,33.3,23.7,3.8,2,0,0,HIIT,0
159,130,62,0.69,19.6,27.8,3.0,3,1,0,Strength,1
180,151,81,0.66,25.4,25.5,3.2,2,0,0,Strength,0
191,163,78,0.36,25.0,27.3,3.7,2,0,0,Mixed,0
166,123,72,0.76,36.2,21.8,3.7,2,0,0,Yoga,0
191,147,64,1.2,12.3,19.9,3.2,6,3,1,Cardio,3
194,146,55,1.1,14.3,25.5,3.3,7,3,1,Cardio,3
176,127,68,0.99,25.0,22.0,3.8,4,1,0,Yoga,1
174,125,66,0.41,27.1,24.1,3.4,3,1,0,Yoga,1
172,138,75,0.86,25.8,25.3,3.2,4,1,0,Cardio,1
183,137,81,0.69,24.4,29.0,3.7,3,0,0,Yoga,0
173,157,63,0.75,20.6,27.1,2.7,5,2,1,HIIT,2
193,133,59,0.8,21.3,21.3,4.5,5,2,1,Yoga,2
191,153,65,1.06,31.4,19.4,4.0,3,1,0,Strength,1
186,144,65,0.81,19.5,30.8,2.8,4,2,1,Cardio,2
193,146,60,1.35,18.0,18.0,3.4,5,3,1,Cardio,3
171,125,68,0.85,25.8,22.2,4.2,4,1,0,Yoga,1
176,148,66,0.53,25.3,26.6,4.2,4,1,0,Mixed,1
182,165,68,1.39,11.9,30.6,3.9,7,3,1,HIIT,3
165,134,62,0.97,14.0,23.2,3.8,6,2,1,Strength,2
186,127,56,1.19,17.8,24.1,4.4,6,3,1,Yoga,3
196,167,81,0.49,28.6,20.5,4.2,2,0,0,Mixed,0
163,123,74,0.7,24.9,24.5,4.0,2,0,0,Yoga,0
185,146,73,0.98,23.6,19.4,3.1,4,1,0,Cardio,1
169,140,71,0.25,28.1,21.0,3.2,2,0,0,Strength,0
161,117,63,1.35,17.3,27.1,5.0,6,3,1,Yoga,3
187,147,74,0.84,30.3,22.3,3.5,5,1,0,Cardio,1
165,149,55,1.06,8.0,27.7,3.8,6,3,1,HIIT,3
205,159,72,0.6,26.1,23.4,2.9,2,0,0,Cardio,0
196,140,70,0.91,19.3,18.5,4.0,2,0,0,Yoga,0
173,128,72,0.55,24.7,28.7,3.8,2,0,0,Yoga,0
197,180,83,0.77,29.3,18.7,3.2,2,0,0,HIIT,0
178,130,71,1.04,18.5,21.6,3.8,3,1,0,Yoga,1
170,149,85,0.74,28.7,23.2,4.2,2,0,0,Mixed,0
174,160,77,0.83,22.8,28.0,3.4,5,1,0,HIIT,1
202,163,71,1.35,21.1,21.9,3.6,6,2,1,Strength,2
204,162,82,0.81,33.6,20.3,3.1,3,0,0,Cardio,0
187,155,81,0.6,30.9,24.7,3.1,3,0,0,Strength,0
197,179,79,0.86,24.7,23.1,3.6,5,1,0,HIIT,1
170,145,68,1.18,24.0,22.1,5.2,7,2,1,Mixed,2
177,160,63,1.27,14.3,24.9,4.0,5,3,1,HIIT,3
164,140,68,1.11,17.1,19.2,4.6,5,2,1,Mixed,2
157,113,58,1.04,15.9,18.0,4.2,6,3,1,Yoga,3
205,186,79,0.84,28.6,32.6,3.3,3,0,0,HIIT,0
192,159,81,0.62,27.8,24.4,3.4,3,0,0,Strength,0
161,127,62,1.09,19.5,24.7,3.2,7,2,1,Cardio,2
170,154,61,1.06,26.1,20.9,3.3,6,2,1,HIIT,2
190,145,62,0.86,23.2,27.6,3.5,4,2,1,Cardio,2
173,159,77,0.82,26.0,21.9,3.2,5,1,0,HIIT,1
177,162,74,0.31,20.1,18.0,2.8,2,0,0,HIIT,0
183,166,69,0.7,22.2,21.7,2.8,3,0,0,HIIT,0
181,131,70,0.72,28.6,22.9,4.0,2,0,0,Yoga,0
180,147,70,0.82,32.5,23.3,3.5,2,0,0,Strength,0
169,121,61,0.93,15.4,23.2,4.1,4,2,1,Yoga,2
182,148,68,0.38,32.0,21.4,3.3,2,0,0,Strength,0
192,150,73,0.64,26.6,21.0,2.8,5,1,0,Cardio,1
166,118,59,1.2,17.8,22.8,4.1,7,3,1,Yoga,3
184,145,73,1.13,20.0,18.0,3.3,3,1,0,Cardio,1
190,171,64,0.31,29.3,18.0,2.7,2,0,0,HIIT,0
170,125,70,1.03,17.1,24.4,4.2,6,2,1,Yoga,2
196,137,65,0.66,17.8,24.5,4.1,7,2,1,Yoga,2
179,164,78,0.5,27.8,27.5,2.7,3,0,0,HIIT,0
172,147,73,0.81,13.1,23.0,4.2,5,2,1,Mixed,2
195,153,77,0.5,20.1,19.2,2.5,2,0,0,Cardio,0
176,146,76,1.12,13.4,18.0,4.4,5,2,1,Strength,2
180,146,66,0.55,23.7,20.4,3.7,2,0,0,Strength,0
189,153,68,0.45,19.7,25.7,2.6,5,1,0,Strength,1
177,125,61,0.69,18.3,29.8,4.1,5,1,1,Yoga,1
175,143,67,0.99,25.3,24.2,3.9,4,2,1,Strength,2
204,163,65,1.04,16.1,19.1,3.9,7,2,1,Strength,2
197,175,55,1.23,11.5,20.5,3.9,7,3,1,HIIT,3
182,148,85,0.44,26.0,20.6,2.4,2,0,0,Cardio,0
195,136,63,1.08,20.8,22.4,4.3,4,2,1,Yoga,2
194,175,64,0.36,22.9,28.5,2.8,3,0,0,HIIT,0
192,174,73,0.99,18.1,28.8,3.1,4,1,0,HIIT,1
170,126,73,0.49,23.9,23.3,3.2,3,1,0,Yoga,1
186,169,73,0.87,19.5,24.7,2.9,3,0,0,HIIT,0
165,143,79,0.86,25.3,20.8,3.8,3,0,0,Mixed,0
182,127,60,0.58,23.6,18.0,3.4,5,2,1,Yoga,2
179,142,73,0.62,35.8,31.2,2.8,2,0,0,Cardio,0
188,138,77,0.57,29.7,18.0,2.7,2,0,0,Yoga,0
170,155,75,1.01,24.4,18.0,3.9,5,1,0,HIIT,1
190,173,74,0.57,17.9,31.2,3.0,2,0,0,HIIT,0
193,151,73,0.9,27.5,24.1,2.7,2,0,0,Cardio,0
167,133,70,0.97,20.7,19.5,2.7,4,1,0,Cardio,1
174,147,65,0.46,26.0,26.7,4.1,3,0,0,Mixed,0
169,119,59,1.32,14.0,27.1,4.3,7,3,1,Yoga,3
185,146,55,1.26,15.3,18.7,4.1,5,3,1,Strength,3
175,159,66,0.91,23.1,21.9,3.9,5,1,1,HIIT,1
186,150,68,0.62,31.7,27.5,3.4,3,0,0,Strength,0
165,151,73,0.97,37.4,20.7,4.0,3,1,0,HIIT,1
184,145,71,0.65,24.2,25.1,2.6,3,0,0,Cardio,0
180,149,76,0.88,16.4,29.7,3.6,5,1,0,Strength,1
176,160,66,0.59,33.6,18.0,2.7,2,0,0,HIIT,0
192,134,64,0.9,19.7,22.6,3.8,5,2,1,Yoga,2
160,122,75,0.43,25.1,25.0,3.5,2,0,0,Yoga,0
198,142,72,0.91,18.8,18.0,3.8,5,1,1,Yoga,1
205,187,85,0.6,27.5,21.9,2.7,3,0,0,HIIT,0
180,126,60,0.66,22.8,28.2,3.1,3,1,0,Yoga,1
173,148,71,0.62,26.1,21.2,3.9,3,0,0,Mixed,0
188,158,70,1.3,16.4,18.1,4.5,7,3,1,Mixed,3
198,152,65,0.83,19.6,28.5,3.1,4,1,0,Cardio,1
177,147,77,0.25,29.3,25.8,3.2,3,0,0,Strength,0
198,179,70,0.48,24.9,23.7,3.0,2,0,0,HIIT,0
169,124,68,0.93,24.3,23.6,3.6,3,0,0,Yoga,0
158,116,66,0.98,26.5,28.1,4.0,4,1,0,Yoga,1
203,161,85,0.45,27.3,25.2,2.6,3,0,0,Cardio,0
170,154,64,0.77,20.9,26.6,3.5,4,1,0,HIIT,1
180,164,74,0.55,30.4,21.2,3.5,3,0,0,HIIT,0
190,133,64,0.53,8.1,18.0,3.4,4,2,1,Yoga,2
183,167,75,1.18,18.3,26.5,3.7,3,1,0,HIIT,1
184,133,71,1.04,19.5,28.4,4.6,4,2,1,Yoga,2
199,164,61,1.33,13.9,23.1,4.4,7,3,1,Mixed,3
194,132,55,1.68,18.6,27.6,4.5,5,3,1,Yoga,3
168,134,71,0.94,26.1,22.7,3.3,2,0,0,Cardio,0
177,135,59,1.09,11.4,23.6,3.2,7,2,1,Cardio,2
182,134,76,0.88,19.9,31.0,3.7,4,1,0,Yoga,1
188,170,65,1.1,20.6,22.8,3.6,4,1,1,HIIT,1
176,144,68,1.01,23.6,22.6,4.0,5,3,1,Strength,3
163,142,77,0.52,29.9,18.0,4.5,3,0,0,Mixed,0
172,143,76,0.42,23.2,26.8,3.2,3,1,0,Strength,1
175,152,81,0.95,20.7,21.2,4.4,4,1,0,Mixed,1
181,154,70,0.61,29.8,24.6,4.0,3,0,0,Mixed,0
181,162,55,1.48,15.1,22.7,4.4,6,3,1,HIIT,3
180,154,76,0.72,26.5,22.2,3.9,2,0,0,Mixed,0
180,142,70,0.9,19.6,23.5,3.2,7,2,1,Cardio,2
189,143,57,1.44,12.9,23.8,4.3,5,3,1,Cardio,3
162,138,65,1.03,13.2,28.7,4.7,7,2,1,Mixed,2
174,126,66,1.25,16.0,30.1,4.3,7,3,1,Yoga,3
180,150,81,0.81,26.6,26.6,3.9,2,0,0,Strength,0
189,171,67,0.68,19.8,29.1,3.2,3,1,0,HIIT,1
188,159,71,0.81,24.1,27.4,4.0,4,1,0,Mixed,1
201,166,60,0.84,14.1,26.0,4.1,5,2,1,Mixed,2
173,147,68,0.72,26.8,29.8,4.2,2,0,0,Mixed,0
172,137,72,1.05,22.4,18.8,2.9,6,2,1,Cardio,2
193,148,64,0.66,32.3,21.3,3.6,3,0,0,Cardio,0
179,148,76,0.6,26.5,20.7,3.0,3,0,0,Strength,0
176,160,68,0.83,22.9,22.8,3.7,5,1,0,HIIT,1
181,154,73,0.42,27.9,26.7,3.7,4,1,0,Mixed,1
190,144,57,1.13,19.8,19.5,3.1,7,3,1,Cardio,3
188,147,71,1.02,16.7,26.0,3.4,6,2,1,Cardio,2
170,125,69,0.72,19.7,21.7,3.4,5,1,0,Yoga,1
161,141,82,0.59,33.8,22.6,4.2,2,0,0,Mixed,0
187,159,76,0.73,35.2,24.8,4.1,3,0,0,Mixed,0
160,146,65,1.0,14.7,30.7,3.5,4,1,1,HIIT,1
170,128,78,0.36,27.7,21.2,3.0,3,0,0,Yoga,0
185,156,67,1.2,24.3,23.7,4.9,4,2,1,Mixed,2
159,129,74,0.8,30.3,19.7,2.9,3,0,0,Cardio,0
175,144,71,0.81,26.6,21.1,3.4,3,0,0,Strength,0
179,162,69,1.16,28.7,19.7,3.9,7,2,1,HIIT,2
189,157,60,1.32,15.4,25.0,4.6,5,2,1,Mixed,2
162,139,71,0.46,23.1,25.7,4.0,2,0,0,Mixed,0
164,134,78,0.55,28.5,26.7,2.6,3,0,0,Cardio,0
195,154,59,1.15,18.8,21.0,4.3,7,3,1,Strength,3
162,124,55,0.9,12.3,26.0,2.7,4,2,1,Cardio,2
197,149,60,1.15,8.0,24.5,3.2,4,2,1,Cardio,2
191,157,77,0.76,29.0,23.8,3.6,2,0,0,Strength,0
165,131,69,0.91,24.0,19.0,3.1,3,1,0,Cardio,1
196,153,74,0.51,24.2,24.6,2.7,2,0,0,Cardio,0
173,139,76,0.79,25.8,24.7,3.0,2,0,0,Cardio,0
178,147,77,0.47,31.0,24.4,3.6,2,0,0,Strength,0
202,158,76,0.27,29.1,25.6,2.3,2,0,0,Cardio,0
189,149,55,0.96,26.7,26.8,3.6,5,3,1,Strength,3
193,162,70,1.02,20.3,19.6,4.6,3,1,0,Mixed,1
205,169,62,1.01,15.6,23.1,4.4,5,2,1,Mixed,2
167,130,60,1.11,10.2,26.1,3.1,6,3,1,Cardio,3
192,142,80,1.02,23.5,22.9,3.6,2,0,0,Yoga,0
184,155,70,0.73,25.3,27.8,4.4,2,0,0,Mixed,0
171,143,75,0.89,24.7,24.4,3.8,2,0,0,Strength,0
177,149,62,0.95,10.8,18.0,4.4,7,3,1,Mixed,3
180,151,63,1.15,19.9,27.4,4.7,4,2,1,Mixed,2
173,135,63,0.68,25.6,23.5,2.6,5,1,0,Cardio,1
193,153,59,1.22,16.3,18.0,3.9,7,2,1,Strength,2
171,127,75,0.32,27.1,23.0,3.2,3,0,0,Yoga,0
195,158,72,0.41,34.9,18.9,3.5,3,0,0,Strength,0
200,165,60,1.03,22.2,27.0,4.3,3,1,1,Mixed,1
168,141,61,0.73,21.0,23.9,3.7,5,2,1,Mixed,2
179,140,68,0.89,21.3,20.3,3.1,3,0,0,Cardio,0
205,148,79,0.89,26.9,27.2,3.8,3,0,0,Yoga,0
169,153,63,0.84,21.1,25.8,3.1,3,1,0,HIIT,1
193,143,82,0.42,28.0,23.1,3.0,2,0,0,Yoga,0
176,146,76,1.16,26.5,19.0,4.3,7,2,1,Strength,2
170,134,66,0.98,22.4,20.6,3.2,3,1,0,Cardio,1
163,149,67,0.92,22.7,20.6,3.1,3,1,0,HIIT,1
205,184,65,0.88,8.0,27.0,3.0,7,3,1,HIIT,3
164,136,70,0.93,26.0,18.0,3.7,4,2,0,Strength,2
185,146,73,0.59,27.2,23.8,2.8,2,0,0,Cardio,0
172,156,68,0.76,23.7,23.0,3.4,5,1,0,HIIT,1
188,148,73,0.71,24.7,28.1,2.9,3,0,0,Cardio,0
185,148,61,0.74,14.6,24.9,3.1,5,2,1,Strength,2
201,161,70,0.83,24.2,26.1,3.4,7,2,1,Strength,2
187,146,71,0.79,27.1,21.9,2.9,4,1,0,Cardio,1
155,127,61,0.67,13.7,19.1,3.7,6,2,1,Strength,2
163,135,70,0.63,26.0,22.7,3.8,5,1,0,Strength,1
182,164,63,1.11,20.9,27.1,3.7,5,2,1,HIIT,2
205,163,85,0.96,24.6,27.1,3.3,3,0,0,Cardio,0
175,145,74,0.92,29.9,22.3,3.4,3,0,0,Strength,0
177,128,69,1.03,21.9,20.6,4.3,7,2,1,Yoga,2
169,127,77,0.71,31.4,19.8,3.3,3,0,0,Yoga,0
192,153,64,0.75,19.5,23.5,3.9,6,2,1,Strength,2
199,166,67,1.0,10.2,24.5,4.3,6,2,1,Mixed,2
173,125,66,0.72,16.5,29.9,3.8,7,2,1,Yoga,2
179,164,77,1.2,25.9,24.5,3.5,5,2,1,HIIT,2
195,177,70,1.01,18.4,26.5,4.3,3,1,0,HIIT,1
163,146,55,0.87,9.2,20.9,3.4,7,3,1,HIIT,3
185,154,81,0.74,27.8,24.2,3.2,3,1,0,Strength,1
186,151,67,0.79,11.0,24.6,3.9,5,1,1,Strength,1
184,133,70,0.75,25.5,23.4,4.0,3,1,0,Yoga,1
179,161,57,0.88,16.1,23.9,3.5,7,3,1,HIIT,3
171,156,72,0.75,29.9,24.5,3.5,2,0,0,HIIT,0
165,139,59,1.08,16.3,25.9,4.3,7,2,1,Mixed,2
187,151,65,0.67,23.4,28.7,3.3,3,0,0,Strength,0
171,126,71,0.34,23.1,18.0,3.0,3,0,0,Yoga,0
203,140,63,0.75,8.0,28.5,4.1,6,3,1,Yoga,3
188,152,67,0.53,25.8,18.0,3.7,2,0,0,Strength,0
183,166,68,0.93,12.5,25.2,3.4,6,2,1,HIIT,2
187,150,82,0.71,22.6,33.4,3.1,3,1,0,Cardio,1
179,128,66,0.71,22.0,23.8,3.8,6,2,1,Yoga,2
167,135,58,1.02,18.1,24.7,3.7,4,2,1,Strength,2
180,164,77,0.66,33.4,22.8,3.2,2,0,0,HIIT,0
186,169,75,0.52,27.8,26.7,2.9,3,1,0,HIIT,1
177,163,82,0.52,18.7,25.4,2.7,2,0,0,HIIT,0
157,136,71,0.92,24.3,21.3,4.4,4,1,0,Mixed,1
165,150,68,1.24,16.9,23.5,3.8,4,2,1,HIIT,2
163,142,79,0.94,23.7,19.5,4.1,2,0,0,Mixed,0
176,144,68,0.71,22.2,23.5,3.9,6,2,1,Strength,2
168,154,77,0.95,29.6,22.3,3.5,2,0,0,HIIT,0
198,160,72,0.94,26.3,24.5,3.3,3,0,0,Strength,0
189,140,80,0.59,27.0,21.2,3.3,2,0,0,Yoga,0
174,159,72,1.06,26.5,23.1,3.4,3,0,0,HIIT,0
168,147,83,0.68,18.9,24.0,3.8,4,1,0,Mixed,1
174,128,72,0.9,33.4,24.3,4.7,3,0,0,Yoga,0
174,141,64,1.14,22.7,25.1,3.3,5,3,1,Strength,3
190,143,55,1.08,15.4,23.3,3.7,5,3,1,Cardio,3
190,153,68,0.67,20.0,20.9,3.9,5,1,0,Strength,1
181,130,67,0.59,29.5,24.3,2.9,5,1,0,Yoga,1
186,127,55,1.0,18.2,23.3,4.2,6,3,1,Yoga,3
156,114,62,0.99,22.1,28.1,4.8,6,2,1,Yoga,2
193,175,77,0.72,25.6,28.6,3.1,2,0,0,HIIT,0
198,158,64,1.34,23.9,18.5,4.3,5,2,1,Strength,2
178,149,81,0.69,34.7,26.5,2.7,2,0,0,Strength,0
195,163,65,0.63,19.0,27.3,3.3,4,1,0,Mixed,1
166,139,73,0.97,21.5,18.6,3.8,5,1,0,Strength,1
197,163,62,1.06,25.2,26.3,4.2,7,2,1,Mixed,2
200,158,81,0.7,27.3,27.6,2.9,3,0,0,Cardio,0
177,162,79,0.34,29.8,20.2,2.8,2,0,0,HIIT,0
170,139,65,1.13,13.5,23.1,4.1,7,3,1,Strength,3
174,136,64,1.12,20.3,24.7,3.2,4,2,1,Cardio,2
190,156,77,0.65,29.6,26.3,3.4,5,1,0,Strength,1
189,156,57,0.82,16.3,20.0,4.0,4,2,1,Mixed,2
203,155,67,1.14,19.4,28.6,3.9,5,2,1,Cardio,2
169,139,71,0.92,24.9,18.0,4.1,3,1,0,Strength,1
195,154,79,0.68,21.1,29.3,2.9,3,0,0,Cardio,0
175,138,70,0.78,24.1,26.2,2.2,3,1,0,Cardio,1
154,139,55,1.49,22.0,21.5,4.4,7,3,1,HIIT,3
168,152,60,0.84,21.8,27.5,3.4,5,2,1,HIIT,2
170,135,70,0.52,20.7,19.8,2.6,3,1,0,Cardio,1
170,141,74,0.38,28.3,24.5,3.0,3,0,0,Strength,0
177,138,64,1.4,17.6,25.0,3.6,5,3,1,Cardio,3
187,153,75,0.85,23.9,24.9,3.6,3,1,0,Strength,1
190,160,70,1.09,20.8,20.6,4.3,3,1,0,Mixed,1
180,133,75,0.99,32.3,22.0,4.6,2,0,0,Yoga,0
185,150,70,1.13,12.1,24.5,3.7,5,2,1,Strength,2
197,178,74,0.6,29.1,21.1,3.5,2,0,0,HIIT,0
168,138,69,0.73,26.6,25.1,3.7,3,1,0,Strength,1
166,120,63,1.05,25.5,21.5,4.5,5,1,1,Yoga,1
196,151,69,0.81,14.0,28.0,2.9,7,2,1,Cardio,2
194,163,70,0.77,17.3,30.3,4.0,4,1,0,Mixed,1
169,146,76,0.84,22.0,22.8,4.8,5,1,0,Mixed,1
184,132,69,0.58,26.4,27.7,3.3,3,0,0,Yoga,0
190,158,63,1.15,21.1,23.2,4.0,6,2,1,Mixed,2
182,152,80,0.6,23.8,20.3,3.8,3,0,0,Strength,0
170,136,72,0.25,24.9,22.3,2.3,4,1,0,Cardio,1
179,145,64,0.51,20.8,24.3,2.9,4,1,0,Strength,1
179,130,70,0.84,18.9,18.0,3.9,6,2,1,Yoga,2
163,147,58,1.15,23.6,26.5,3.7,7,2,1,HIIT,2
185,156,69,0.81,18.8,24.3,4.2,4,2,1,Mixed,2
171,125,70,0.87,21.9,28.0,4.2,3,0,0,Yoga,0
195,154,76,0.87,21.4,26.4,3.3,3,1,0,Cardio,1
159,146,76,0.54,26.5,24.5,2.9,3,0,0,HIIT,0
181,143,72,0.87,17.0,22.6,3.2,3,1,0,Cardio,1
184,150,70,0.8,22.5,30.1,3.6,4,1,0,Strength,1
197,179,75,0.79,32.6,32.7,3.2,2,0,0,HIIT,0
180,153,70,1.19,24.7,22.6,4.6,4,1,1,Mixed,1
186,168,64,1.18,8.0,28.2,3.9,5,3,1,HIIT,3
182,147,65,1.0,18.7,21.2,4.1,5,2,1,Strength,2
196,165,72,1.11,22.5,21.6,4.8,5,2,1,Mixed,2
159,130,61,1.08,14.5,22.5,3.7,5,2,1,Strength,2
193,158,74,0.65,31.6,26.7,3.3,5,1,0,Strength,1
182,153,68,1.29,21.7,19.7,4.7,7,2,1,Mixed,2
177,153,81,0.57,23.5,30.2,3.8,3,0,0,Mixed,0
194,158,76,0.52,25.8,27.8,3.0,3,0,0,Strength,0
203,165,77,0.28,33.2,26.6,3.3,2,0,0,Strength,0
173,149,77,0.77,28.4,22.8,3.7,2,0,0,Mixed,0
178,144,64,0.79,26.1,27.3,3.8,3,1,0,Strength,1
175,141,77,0.9,31.9,18.0,3.1,2,0,0,Cardio,0
167,135,76,1.21,21.3,25.8,3.9,7,3,1,Cardio,3
186,145,68,1.1,13.3,24.6,2.8,7,3,1,Cardio,3
198,148,56,1.02,14.4,18.0,3.3,6,3,1,Cardio,3
189,149,56,0.97,18.8,25.6,3.8,7,2,1,Strength,2
153,125,60,1.48,8.0,26.4,4.6,5,3,1,Strength,3
203,184,75,0.75,18.8,18.0,3.7,5,1,0,HIIT,1
172,157,70,0.74,29.0,19.3,3.6,3,1,0,HIIT,1
169,156,84,0.51,31.3,32.3,2.9,3,0,0,HIIT,0
170,154,66,0.79,24.7,23.3,3.1,5,1,0,HIIT,1
162,133,66,1.04,17.7,27.9,3.8,6,2,1,Strength,2
185,167,69,0.8,28.1,28.5,2.9,5,1,0,HIIT,1
171,143,79,0.86,21.4,25.6,3.3,2,0,0,Strength,0
181,143,74,0.76,33.6,28.1,2.6,3,1,0,Cardio,1
196,161,81,0.57,25.8,18.0,3.1,2,0,0,Strength,0
196,176,64,0.98,10.8,23.1,3.5,7,2,1,HIIT,2
153,130,76,1.14,26.9,18.0,3.9,5,1,0,Strength,1
183,147,62,1.29,22.8,18.0,4.1,7,3,1,Strength,3
184,155,67,1.01,24.6,21.8,4.8,7,3,1,Mixed,3
194,177,82,0.5,25.5,21.3,2.7,2,0,0,HIIT,0
191,132,60,0.98,22.0,24.2,4.2,5,3,1,Yoga,3
188,129,57,1.24,19.1,23.9,4.7,6,3,1,Yoga,3
173,142,71,0.38,33.5,24.5,2.6,3,1,0,Strength,1
176,150,70,1.21,16.0,24.7,4.5,4,2,1,Mixed,2
205,164,67,0.89,22.0,25.3,3.5,2,0,0,Strength,0
173,156,58,0.93,13.4,20.2,3.5,7,3,1,HIIT,3
199,155,73,0.7,25.4,21.1,2.8,4,1,0,Cardio,1
174,138,55,1.28,8.9,23.9,3.8,6,3,1,Strength,3
194,136,65,0.63,22.5,23.9,3.2,3,1,0,Yoga,1
160,131,62,0.54,26.1,19.7,3.2,5,2,0,Strength,2
187,169,70,1.24,27.3,28.3,3.5,5,1,0,HIIT,1
187,170,68,0.53,21.9,26.9,2.9,3,1,0,HIIT,1
194,133,58,1.03,13.2,20.6,4.6,7,3,1,Yoga,3
188,129,58,1.04,14.0,23.2,4.2,4,2,1,Yoga,2
169,145,74,1.15,15.1,32.0,4.7,7,2,1,Mixed,2
171,145,67,0.95,22.2,24.6,3.6,3,1,0,Mixed,1
200,149,55,0.98,11.8,25.6,3.1,6,3,1,Cardio,3
160,120,71,1.15,20.2,21.6,4.2,6,2,1,Yoga,2
190,160,71,0.45,22.9,22.7,3.8,2,0,0,Mixed,0
186,129,59,0.6,16.0,30.0,3.7,6,2,1,Yoga,2
178,148,78,0.97,20.5,24.5,3.9,3,0,0,Strength,0
172,145,62,1.17,15.4,23.7,4.7,4,2,1,Mixed,2
195,141,76,0.67,25.9,24.0,3.7,2,0,0,Yoga,0
194,137,67,1.13,25.5,34.2,3.9,3,1,0,Yoga,1
170,137,63,0.83,13.6,24.2,3.5,5,2,1,Strength,2
174,125,65,0.52,18.9,20.7,3.7,4,1,0,Yoga,1
183,152,59,0.73,21.5,21.4,4.0,5,2,1,Mixed,2
186,159,77,1.23,22.2,27.1,4.4,7,3,1,Mixed,3
180,140,66,1.04,16.2,18.3,3.1,5,1,1,Cardio,1
160,126,63,0.54,19.7,25.8,2.3,4,1,0,Cardio,1
188,161,81,0.52,40.0,21.1,3.9,3,0,0,Mixed,0
188,147,71,0.91,21.3,18.0,2.9,3,1,0,Cardio,1
195,153,75,0.84,28.2,20.1,3.4,2,0,0,Cardio,0
201,161,68,0.7,20.2,24.1,4.0,5,1,0,Strength,1
175,160,73,0.94,27.7,29.6,3.8,2,0,0,HIIT,0
167,129,59,1.42,8.0,27.7,3.7,7,3,1,Cardio,3
190,174,81,0.41,21.1,22.8,2.3,3,0,0,HIIT,0
191,150,74,0.65,29.4,27.9,3.0,2,0,0,Cardio,0
198,180,76,0.67,23.4,22.6,3.5,5,1,0,HIIT,1
176,131,75,0.52,22.9,18.1,3.2,2,0,0,Yoga,0
195,177,74,0.93,27.0,24.1,3.3,3,0,0,HIIT,0
195,175,60,1.0,16.1,18.0,3.8,6,2,1,HIIT,2
163,126,81,0.97,14.8,27.2,4.3,3,1,0,Yoga,1
195,141,75,0.72,24.5,27.2,3.9,2,0,0,Yoga,0
173,139,75,0.97,22.8,20.5,3.4,3,0,0,Cardio,0
174,141,79,0.74,30.6,24.6,2.6,3,1,0,Cardio,1
162,147,67,1.03,18.5,24.5,3.7,6,2,1,HIIT,2
175,149,73,0.86,12.3,27.5,4.5,5,1,1,Mixed,1
205,186,75,0.26,29.8,19.0,2.8,3,0,0,HIIT,0
167,141,66,0.37,22.3,26.4,3.7,5,1,0,Mixed,1
177,127,66,1.12,18.3,18.7,4.4,5,3,1,Yoga,3
176,159,63,1.19,25.7,27.1,3.5,3,1,0,HIIT,1
179,141,70,0.26,31.2,28.3,2.7,2,0,0,Cardio,0
177,144,66,1.05,21.8,21.3,4.1,4,1,1,Strength,1
178,139,66,1.01,8.4,28.9,3.4,7,2,1,Cardio,2
179,148,75,0.25,26.9,18.0,2.7,2,0,0,Strength,0
197,163,61,0.91,22.2,28.4,4.2,5,1,1,Mixed,1
176,141,77,0.73,26.8,29.8,3.2,4,2,0,Cardio,2
193,176,79,0.79,29.1,25.4,3.0,3,0,0,HIIT,0
162,131,58,0.98,12.0,23.2,3.7,5,3,1,Strength,3
168,125,72,0.76,28.4,25.2,4.0,4,1,0,Yoga,1
176,161,72,0.88,27.0,21.6,3.4,4,1,0,HIIT,1
176,135,58,1.11,12.5,34.5,3.5,7,3,1,Cardio,3
168,127,77,0.25,25.8,21.7,3.3,2,0,0,Yoga,0
176,127,67,1.07,24.3,29.3,4.0,7,2,1,Yoga,2
